=== Logging Started ===
Episode 1/100, Total reward: -2958.50, epsilon:0.995
Episode 2/100, Total reward: -3521.80, epsilon:0.990
Episode 3/100, Total reward: -2876.70, epsilon:0.985
Episode 4/100, Total reward: -3229.70, epsilon:0.980
Episode 5/100, Total reward: -3195.60, epsilon:0.975
Episode 6/100, Total reward: -3314.70, epsilon:0.970
Episode 7/100, Total reward: -3154.00, epsilon:0.966
Episode 8/100, Total reward: -3447.40, epsilon:0.961
Episode 9/100, Total reward: -3096.60, epsilon:0.956
Episode 10/100, Total reward: -3090.60, epsilon:0.951
Episode 11/100, Total reward: -3125.90, epsilon:0.946
Episode 12/100, Total reward: -3227.40, epsilon:0.942
Episode 13/100, Total reward: -3026.30, epsilon:0.937
Episode 14/100, Total reward: -3587.20, epsilon:0.932
Episode 15/100, Total reward: -3036.80, epsilon:0.928
Episode 16/100, Total reward: -3095.40, epsilon:0.923
Episode 17/100, Total reward: -3110.00, epsilon:0.918
Episode 18/100, Total reward: -3065.40, epsilon:0.914
Episode 19/100, Total reward: -3388.80, epsilon:0.909
Episode 20/100, Total reward: -3108.30, epsilon:0.905
Episode 21/100, Total reward: -2967.90, epsilon:0.900
Episode 22/100, Total reward: -3082.60, epsilon:0.896
Episode 23/100, Total reward: -3443.50, epsilon:0.891
Episode 24/100, Total reward: -3513.90, epsilon:0.887
Episode 25/100, Total reward: -2919.00, epsilon:0.882
Episode 26/100, Total reward: -3640.80, epsilon:0.878
Episode 27/100, Total reward: -3055.90, epsilon:0.873
Episode 28/100, Total reward: -3055.20, epsilon:0.869
Episode 29/100, Total reward: -3156.60, epsilon:0.865
Episode 30/100, Total reward: -3293.10, epsilon:0.860
Episode 31/100, Total reward: -3636.40, epsilon:0.856
Episode 32/100, Total reward: -3186.50, epsilon:0.852
Episode 33/100, Total reward: -3525.00, epsilon:0.848
Episode 34/100, Total reward: -2953.50, epsilon:0.843
Episode 35/100, Total reward: -3096.50, epsilon:0.839
Episode 36/100, Total reward: -3336.90, epsilon:0.835
Episode 37/100, Total reward: -3075.40, epsilon:0.831
Episode 38/100, Total reward: -3184.50, epsilon:0.827
Episode 39/100, Total reward: -3488.00, epsilon:0.822
Episode 40/100, Total reward: -3412.90, epsilon:0.818
Episode 41/100, Total reward: -3013.00, epsilon:0.814
Episode 42/100, Total reward: -3447.40, epsilon:0.810
Episode 43/100, Total reward: -2858.50, epsilon:0.806
Episode 44/100, Total reward: -3288.60, epsilon:0.802
Episode 45/100, Total reward: -3752.40, epsilon:0.798
Episode 46/100, Total reward: -3405.50, epsilon:0.794
Episode 47/100, Total reward: -3738.10, epsilon:0.790
