=== Logging Started ===
Episode 1/100, Total reward: -3057.10
Episode 2/100, Total reward: -3593.30
Episode 3/100, Total reward: -3229.60
Episode 4/100, Total reward: -3116.60
Episode 5/100, Total reward: -3032.30
Episode 6/100, Total reward: -2905.50
Episode 7/100, Total reward: -3217.80
Episode 8/100, Total reward: -3360.70
Episode 9/100, Total reward: -2839.30
Episode 10/100, Total reward: -3005.30
Episode 11/100, Total reward: -3166.50
Episode 12/100, Total reward: -2876.00
Episode 13/100, Total reward: -2895.70
Episode 14/100, Total reward: -3315.80
Episode 15/100, Total reward: -2795.40
Episode 16/100, Total reward: -2669.90
Episode 17/100, Total reward: -2622.60
Episode 18/100, Total reward: -2776.00
Episode 19/100, Total reward: -2828.40
Episode 20/100, Total reward: -2735.00
Episode 21/100, Total reward: -2636.30
Episode 22/100, Total reward: -2641.10
Episode 23/100, Total reward: -2816.70
Episode 24/100, Total reward: -2653.00
Episode 25/100, Total reward: -2654.50
Episode 26/100, Total reward: -2830.80
Episode 27/100, Total reward: -2438.80
Episode 28/100, Total reward: -2748.10
Episode 29/100, Total reward: -2598.70
Episode 30/100, Total reward: -2502.50
Episode 31/100, Total reward: -2767.10
Episode 32/100, Total reward: -2468.80
Episode 33/100, Total reward: -2914.90
Episode 34/100, Total reward: -2521.40
Episode 35/100, Total reward: -2429.20
Episode 36/100, Total reward: -2428.80
Episode 37/100, Total reward: -2801.00
Episode 38/100, Total reward: -2344.90
Episode 39/100, Total reward: -2304.20
Episode 40/100, Total reward: -2515.10
Episode 41/100, Total reward: -2549.30
Episode 42/100, Total reward: -2898.10
Episode 43/100, Total reward: -2480.20
Episode 44/100, Total reward: -2503.70
Episode 45/100, Total reward: -2344.60
Episode 46/100, Total reward: -2399.50
Episode 47/100, Total reward: -2570.20
Episode 48/100, Total reward: -2331.30
Episode 49/100, Total reward: -2252.70
Episode 50/100, Total reward: -2412.10
Episode 51/100, Total reward: -2338.00
Episode 52/100, Total reward: -2229.60
Episode 53/100, Total reward: -2517.30
Episode 54/100, Total reward: -2371.90
Episode 55/100, Total reward: -2389.60
Episode 56/100, Total reward: -2302.00
Episode 57/100, Total reward: -2286.60
Episode 58/100, Total reward: -2111.70
Episode 59/100, Total reward: -2386.30
Episode 60/100, Total reward: -2269.10
Episode 61/100, Total reward: -2236.00
Episode 62/100, Total reward: -2219.60
Episode 63/100, Total reward: -2010.60
Episode 64/100, Total reward: -2222.60
Episode 65/100, Total reward: -2236.80
Episode 66/100, Total reward: -2104.30
Episode 67/100, Total reward: -2220.50
Episode 68/100, Total reward: -2140.40
Episode 69/100, Total reward: -2374.00
Episode 70/100, Total reward: -2259.40
Episode 71/100, Total reward: -2027.30
Episode 72/100, Total reward: -2215.50
Episode 73/100, Total reward: -2174.00
Episode 74/100, Total reward: -2245.70
Episode 75/100, Total reward: -2204.00
Episode 76/100, Total reward: -2072.60
Episode 77/100, Total reward: -2341.60
Episode 78/100, Total reward: -2169.90
Episode 79/100, Total reward: -2035.30
Episode 80/100, Total reward: -2211.20
Episode 81/100, Total reward: -2226.40
Episode 82/100, Total reward: -2168.50
Episode 83/100, Total reward: -2043.90
Episode 84/100, Total reward: -2268.50
Episode 85/100, Total reward: -1991.90
Episode 86/100, Total reward: -2153.70
Episode 87/100, Total reward: -2006.10
Episode 88/100, Total reward: -2218.00
Episode 89/100, Total reward: -2290.70
Episode 90/100, Total reward: -2138.30
Episode 91/100, Total reward: -2152.00
Episode 92/100, Total reward: -2098.70
Episode 93/100, Total reward: -1985.10
Episode 94/100, Total reward: -2003.90
Episode 95/100, Total reward: -2091.80
Episode 96/100, Total reward: -2133.20
Episode 97/100, Total reward: -2085.90
Episode 98/100, Total reward: -2240.90
Episode 99/100, Total reward: -2087.20
Episode 100/100, Total reward: -1971.60
Independent RL models saved successfully
=== Independent RL Training Complete ===
Average Episodic Reward: -2460.76
=== Logging Finished ===
